codigo_ibge,nome,uf,uf_nome,regiao,capital,populacao
1200013,Acrelândia,AC,Acre,norte,false,0
1200054,Assis Brasil,AC,Acre,norte,false,0
1200104,Brasiléia,AC,Acre,norte,false,0
1200138,Bujari,AC,Acre,norte,false,0
1200179,Capixaba,AC,Acre,norte,false,0
1200203,Cruzeiro do Sul,AC,Acre,norte,false,0
1200252,Epitaciolândia,AC,Acre,norte,false,0
1200302,Feijó,AC,Acre,norte,false,0
1200328,Jordão,AC,Acre,norte,false,0
1200344,Manoel Urbano,AC,Acre,norte,false,0
1200351,Marechal Thaumaturgo,AC,Acre,norte,false,0
1200336,Mâncio Lima,AC,Acre,norte,false,0
1200385,Plácido de Castro,AC,Acre,norte,false,0
1200807,Porto Acre,AC,Acre,norte,false,0
1200393,Porto Walter,AC,Acre,norte,false,0
1200401,Rio Branco,AC,Acre,norte,true,0
1200427,Rodrigues Alves,AC,Acre,norte,false,0
1200435,Santa Rosa do Purus,AC,Acre,norte,false,0
1200500,Sena Madureira,AC,Acre,norte,false,0
1200450,Senador Guiomard,AC,Acre,norte,false,0
1200609,Tarauacá,AC,Acre,norte,false,0
1200708,Xapuri,AC,Acre,norte,false,0
2700201,Anadia,AL,Alagoas,nordeste,false,0
2700300,Arapiraca,AL,Alagoas,nordeste,false,0
2700409,Atalaia,AL,Alagoas,nordeste,false,0
2700508,Barra de Santo Antônio,AL,Alagoas,nordeste,false,0
2700607,Barra de São Miguel,AL,Alagoas,nordeste,false,0
2700706,Batalha,AL,Alagoas,nordeste,false,0
2700904,Belo Monte,AL,Alagoas,nordeste,false,0
2700805,Belém,AL,Alagoas,nordeste,false,0
2701001,Boca da Mata,AL,Alagoas,nordeste,false,0
2701100,Branquinha,AL,Alagoas,nordeste,false,0
2701209,Cacimbinhas,AL,Alagoas,nordeste,false,0
2701308,Cajueiro,AL,Alagoas,nordeste,false,0
2701357,Campestre,AL,Alagoas,nordeste,false,0
2701407,Campo Alegre,AL,Alagoas,nordeste,false,0
2701506,Campo Grande,AL,Alagoas,nordeste,false,0
2701605,Canapi,AL,Alagoas,nordeste,false,0
2701704,Capela,AL,Alagoas,nordeste,false,0
2701803,Carneiros,AL,Alagoas,nordeste,false,0
2701902,Chã Preta,AL,Alagoas,nordeste,false,0
2702009,Coité do Nóia,AL,Alagoas,nordeste,false,0
2702108,Colônia Leopoldina,AL,Alagoas,nordeste,false,0
2702207,Coqueiro Seco,AL,Alagoas,nordeste,false,0
2702306,Coruripe,AL,Alagoas,nordeste,false,0
2702355,Craíbas,AL,Alagoas,nordeste,false,0
2702405,Delmiro Gouveia,AL,Alagoas,nordeste,false,0
2702504,Dois Riachos,AL,Alagoas,nordeste,false,0
2702553,Estrela de Alagoas,AL,Alagoas,nordeste,false,0
2702603,Feira Grande,AL,Alagoas,nordeste,false,0
2702702,Feliz Deserto,AL,Alagoas,nordeste,false,0
2702801,Flexeiras,AL,Alagoas,nordeste,false,0
2702900,Girau do Ponciano,AL,Alagoas,nordeste,false,0
2703007,Ibateguara,AL,Alagoas,nordeste,false,0
2703106,Igaci,AL,Alagoas,nordeste,false,0
2703205,Igreja Nova,AL,Alagoas,nordeste,false,0
2703304,Inhapi,AL,Alagoas,nordeste,false,0
2703403,Jacaré dos Homens,AL,Alagoas,nordeste,false,0
2703502,Jacuípe,AL,Alagoas,nordeste,false,0
2703601,Japaratinga,AL,Alagoas,nordeste,false,0
2703700,Jaramataia,AL,Alagoas,nordeste,false,0
2703759,Jequiá da Praia,AL,Alagoas,nordeste,false,0
2703809,Joaquim Gomes,AL,Alagoas,nordeste,false,0
2703908,Jundiá,AL,Alagoas,nordeste,false,0
2704005,Junqueiro,AL,Alagoas,nordeste,false,0
2704104,Lagoa da Canoa,AL,Alagoas,nordeste,false,0
2704203,Limoeiro de Anadia,AL,Alagoas,nordeste,false,0
2704302,Maceió,AL,Alagoas,nordeste,true,0
2704401,Major Isidoro,AL,Alagoas,nordeste,false,0
2704906,Mar Vermelho,AL,Alagoas,nordeste,false,0
2704500,Maragogi,AL,Alagoas,nordeste,false,0
2704609,Maravilha,AL,Alagoas,nordeste,false,0
2704708,Marechal Deodoro,AL,Alagoas,nordeste,false,0
2704807,Maribondo,AL,Alagoas,nordeste,false,0
2705002,Mata Grande,AL,Alagoas,nordeste,false,0
2705101,Matriz de Camaragibe,AL,Alagoas,nordeste,false,0
2705200,Messias,AL,Alagoas,nordeste,false,0
2705309,Minador do Negrão,AL,Alagoas,nordeste,false,0
2705408,Monteirópolis,AL,Alagoas,nordeste,false,0
2705507,Murici,AL,Alagoas,nordeste,false,0
2705606,Novo Lino,AL,Alagoas,nordeste,false,0
2705903,Olho d'Água Grande,AL,Alagoas,nordeste,false,0
2705705,Olho d'Água das Flores,AL,Alagoas,nordeste,false,0
2705804,Olho d'Água do Casado,AL,Alagoas,nordeste,false,0
2706000,Olivença,AL,Alagoas,nordeste,false,0
2706109,Ouro Branco,AL,Alagoas,nordeste,false,0
2706208,Palestina,AL,Alagoas,nordeste,false,0
