nome,nicho,cidade,endereco,telefone,whatsapp,website,email,avaliacao,num_avaliacoes,instagram,facebook,observacao,relevancia
Clínica Odontológica | Rede Odonto Duque de Caxias,dentista,Duque de Caxias,"R. Mariano Sendra dos Santos, 88 - Salas 502 a 505 - Centro, Duque de Caxias - RJ, 25010-080, Brazil",+55 21 3959-4647,+55 92 9952-66811,https://www.redeodonto.com.br/associadas,recepcao@redeodonto.com.br,4.9,593,@redeodonto,,,10
Dentista 24 horas - Clínica SoRio emergência dentista de Duque de Caxias,dentista,Duque de Caxias,"R. Tarce Menezes de Freitas Lima, 15 - sala 101 - Parque Pauliceia, Duque de Caxias - RJ, 25070-110, Brazil",+55 21 97214-8378,+55 21 9721-48378,https://emergenciadentistacaxias.com.br/,clinicasorio@gmail.com,4.9,2222,@clinicasorio,facebook.com/clinicasorio,,10
Dra. Mariana Frauches Odontologia,dentista,Paracambi,"Estação Paracambi - R. Pref. Délio Basílio Leal, 500 - Shopping - Sala 106 - Centro, Paracambi - RJ, 26600-000, Brazil",+55 21 95100-2049,+55 21 9510-02049,http://www.dramarianafrauches.com.br/,consultoriofrauches@gmail.com,5,94,@dramarianafrauches,,,10
Simiquel Odontologia,dentista,Paracambi,"Av. dos Operários, 371 - Centro, Paracambi - RJ, 26600-000, Brazil",+55 21 2683-2549,+55 21 9896-62549,http://simiquelodontologia.com.br/,contato@simiquel.com.br,5,316,@simiquelodontologia,https://www.facebook.com/SimiquelOdontologia,,10
Dr. Daniel Barbosa - Advogado de Família e Inventários,advogado,Belford Roxo,"em frente a Lubrisol - Rua Sâo José, Casa 15, Conjunto Terra Nova - Bom Pastor, Belford Roxo - RJ, 26110-260, Brazil",+55 21 96616-1154,+55 21 9661-61154,https://drdanielbarbosa.com.br/,contato@drdanielbarbosa.com.br,5,65,@dr_daniel_barbosa_adv_familia,https://www.facebook.com/danielconcurseirofocado,,10
Leonardo López - Advogado criminalista,advogado,Queimados,"R. Ver. Marinho Hemeterio Oliveira, 853 - sala 702 - Pacaembu, Queimados - RJ, 26323-292, Brazil",+55 21 97297-3596,+55 21 9866-37327,http://www.leonardolopezadv.com.br/,leonardolopezadv@gmail.com,5,93,@leoslopez,,,10
Bruna Barcelo Advocacia,advogado,Mesquita,"R. Hercília, 1160 - Centro, Mesquita - RJ, 26580-131, Brazil",+55 21 99832-6163,+21998326163,https://brunabarceloadv.com.br/,vivaldopaixao65.2@gmail.com,5,27,@drabrunabarcelo,http://facebook.com/drabrunabarcelo,,10
Rosa & Cordeiro Advogados,advogado,Belford Roxo,"R. João Fernandes Neto, 1019 - Centro, Belford Roxo - RJ, 26130-050, Brazil",+55 21 98818-8855,+55 21 9881-88855,http://www.rosaecordeiro.com.br/,contato@rosaecordeiro.com.br,4.9,80,@rosa.e.cordeiro,,,10
Dra Ana Alice- Advogado criminalista - 24 horas.,advogado,Nova Iguaçu,"R. Min. Edgar da Costa, 80 - sala 411 - Centro, Nova Iguaçu - RJ, 26220-070, Brazil",+55 21 99238-3747,+55 21 9923-83747,https://www.anaaliceadv.com.br/,anaalicerpm.adv@gmail.com,5,11,@advluana.moura,,,10
Viana & Sena Advocacia e Consultoria,advogado,Japeri,"Av. Tancredo Neves, 48 - sala 103 - Cidade Sr. do Bonfim, Japeri - RJ, 26410-050, Brazil",+55 21 96656-7105,+55 21 9665-67105,http://www.vianaesena.com.br/,vianaesena@gmail.com,5,64,@vianaesena,,,10
