nome,endereco,telefone,whatsapp,instagram,email,categoria,subnicho,tem_site,url_site,avaliacao,num_avaliacoes,cidade,bairro,link_maps,place_id
Vip Celular,"R. Marechal Bento Manoel, 63 - 25 de - Agosto, Duque de Caxias - RJ, 25075-270",Rotas,,https://www.instagram.com/reoboth_smart?igsh=eThyZTUzdHZmbHYz,,Assistência técnica de celular,Assistência técnica de celular,False,,5.0,,"Nova Iguaçu, RJ",Agosto,"https://www.google.com/maps/place/Vip+Celular/@-22.7676511,-43.3831172,12z/data=!4m10!1m2!2m1!1sassistencia+tecnica+de+celular+em+Nova+Igua%C3%A7u,+RJ!3m6!1s0x997aed8ba0630d:0x6a8f66c444b3c29b!8m2!3d-22.7902401!4d-43.2986644!15sCjJhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gTm92YSBJZ3Vhw6d1LCBSSlozIjFhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gbm92YSBpZ3Vhw6d1IHJqkgEUcGhvbmVfcmVwYWlyX3NlcnZpY2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXpjblpNWDNaQlJSQULgAQD6AQQIABBF!16s%2Fg%2F11c32949qz?entry=ttu&g_ep=EgoyMDI2MDYyMy4wIKXMDSoASAFQAw%3D%3D",0x997aed8ba0630d:0x6a8f66c444b3c29b
Fleckcell,"R. Gen. Dionísio, 775 - Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ, 25075-060",Rotas,,https://www.instagram.com/reoboth_smart?igsh=eThyZTUzdHZmbHYz,,Assistência técnica de celular,Assistência técnica de celular,False,,5.0,,"Nova Iguaçu, RJ",Jardim Vinte e Cinco de Agosto,"https://www.google.com/maps/place/Fleckcell/@-22.7676511,-43.3831172,12z/data=!4m10!1m2!2m1!1sassistencia+tecnica+de+celular+em+Nova+Igua%C3%A7u,+RJ!3m6!1s0x997b596200923d:0xf81d13e30f07bf71!8m2!3d-22.7955328!4d-43.3033916!15sCjJhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gTm92YSBJZ3Vhw6d1LCBSSlozIjFhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gbm92YSBpZ3Vhw6d1IHJqkgERZWxlY3Ryb25pY3Nfc3RvcmWaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjVrVkZOR2JGRmpiVW8wVVRKR01HRklWbVpYYTJSMlRGZEdNbUpXUlJBQuABAPoBBAgAECM!16s%2Fg%2F11fpcn2kdk?entry=ttu&g_ep=EgoyMDI2MDYyMy4wIKXMDSoASAFQAw%3D%3D",0x997b596200923d:0xf81d13e30f07bf71
Gr Farias Tech - Assistência Técnica de Celular,"R. Onézio Soares da Silva - Centro, Duque de Caxias - RJ, 25075-130",Rotas,,https://www.instagram.com/reoboth_smart?igsh=eThyZTUzdHZmbHYz,,Assistência técnica de celular,Assistência técnica de celular,False,,5.0,,"Nova Iguaçu, RJ",Centro,"https://www.google.com/maps/place/Gr+Farias+Tech+-+Assist%C3%AAncia+T%C3%A9cnica+de+Celular/@-22.7676511,-43.3831172,12z/data=!4m10!1m2!2m1!1sassistencia+tecnica+de+celular+em+Nova+Igua%C3%A7u,+RJ!3m6!1s0x997b6475172357:0xf9eed2556f4c0afb!8m2!3d-22.7896156!4d-43.3088865!15sCjJhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gTm92YSBJZ3Vhw6d1LCBSSpIBF2NvbXB1dGVyX3JlcGFpcl9zZXJ2aWNl4AEA!16s%2Fg%2F11y9ptjf71?entry=ttu&g_ep=EgoyMDI2MDYyMy4wIKXMDSoASAFQAw%3D%3D",0x997b6475172357:0xf9eed2556f4c0afb
"iCaiu Nova Iguaçu: Assistência Apple, Conserto de iPhone, iPad, Apple Watch e Macbook","R. Dr. Thibau, 80 - Sala 302 - Centro, Nova Iguaçu - RJ, 26255-160",Rotas,,https://www.instagram.com/reoboth_smart?igsh=eThyZTUzdHZmbHYz,,Assistência técnica de celular,Assistência técnica de celular,True,https://www.icaiu.com.br/,5.0,,"Nova Iguaçu, RJ",Centro,"https://www.google.com/maps/place/iCaiu+Nova+Igua%C3%A7u:+Assist%C3%AAncia+Apple,+Conserto+de+iPhone,+iPad,+Apple+Watch+e+Macbook/@-22.7598471,-43.5983425,12z/data=!4m10!1m2!2m1!1sassistencia+tecnica+de+celular+em+Nova+Igua%C3%A7u,+RJ!3m6!1s0x99678ba11bde47:0xc73e6ed769392b60!8m2!3d-22.7598471!4d-43.4541469!15sCjJhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gTm92YSBJZ3Vhw6d1LCBSSlozIjFhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gbm92YSBpZ3Vhw6d1IHJqkgEUcGhvbmVfcmVwYWlyX3NlcnZpY2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblRVTnZjMGxNTTNaM1JSQULgAQD6AQUIiwEQMg!16s%2Fg%2F11lll_0krs?entry=ttu&g_ep=EgoyMDI2MDYyMy4wIKXMDSoASAFQAw%3D%3D",0x99678ba11bde47:0xc73e6ed769392b60
MacroCell Assistência Técnica,"Tv. Almerinda Lucas de Azevedo, 121 - loja 25 - Centro, Nova Iguaçu - RJ, 26210-180",Rotas,,https://www.instagram.com/reoboth_smart?igsh=eThyZTUzdHZmbHYz,,Assistência técnica de celular,Assistência técnica de celular,True,http://bit.ly/MacrocellWhatsApp,4.7,,"Nova Iguaçu, RJ",Centro,"https://www.google.com/maps/place/MacroCell+Assist%C3%AAncia+T%C3%A9cnica/@-22.7598471,-43.5983425,12z/data=!4m10!1m2!2m1!1sassistencia+tecnica+de+celular+em+Nova+Igua%C3%A7u,+RJ!3m6!1s0x156190c4c389e7d:0x4ca3bdb9acf6bd47!8m2!3d-22.7579946!4d-43.4495638!15sCjJhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gTm92YSBJZ3Vhw6d1LCBSSlozIjFhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gbm92YSBpZ3Vhw6d1IHJqkgEUcGhvbmVfcmVwYWlyX3NlcnZpY2WaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjFrTTFaSVNqTmFSWGhRVVZkV2JFMXJVVFJVUlZveVV6QldOazV1WXhBQuABAPoBBQjaAhA5!16s%2Fg%2F11b7hh67ff?entry=ttu&g_ep=EgoyMDI2MDYyMy4wIKXMDSoASAFQAw%3D%3D",0x156190c4c389e7d:0x4ca3bdb9acf6bd47
Senhor Smart – Nova Iguaçu/RJ,"Edifício Comercial Vianense - R. Dr. Thibau, 80 - 2º Piso Loja 25 - Centro, Nova Iguaçu - RJ, 26255-160",Rotas,,https://www.instagram.com/reoboth_smart?igsh=eThyZTUzdHZmbHYz,,Assistência técnica de celular,Assistência técnica de celular,True,https://senhorsmart.com.br/novaiguacu/,5.0,,"Nova Iguaçu, RJ",Centro,"https://www.google.com/maps/place/Senhor+Smart+%E2%80%93+Nova+Igua%C3%A7u%2FRJ/@-22.7598471,-43.5983425,12z/data=!3m1!5s0x99670672329ce9:0x6f0c79735f2a9515!4m10!1m2!2m1!1sassistencia+tecnica+de+celular+em+Nova+Igua%C3%A7u,+RJ!3m6!1s0x996721bed8ac03:0xa2ea3df95eeefdff!8m2!3d-22.7598098!4d-43.4543196!15sCjJhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gTm92YSBJZ3Vhw6d1LCBSSlozIjFhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gbm92YSBpZ3Vhw6d1IHJqkgEYbW9iaWxlX3Bob25lX3JlcGFpcl9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEzYkY5WVUyUkJFQUXgAQD6AQQIDRBJ!16s%2Fg%2F11sr0_nn_6?entry=ttu&g_ep=EgoyMDI2MDYyMy4wIKXMDSoASAFQAw%3D%3D",0x99670672329ce9:0x6f0c79735f2a9515
Samsung Smart Center Nova Iguaçu,"R. Dom Walmor, 172 - Centro, Nova Iguaçu - RJ, 26215-220",Rotas,,https://www.instagram.com/reoboth_smart?igsh=eThyZTUzdHZmbHYz,,Assistência técnica de celular,Assistência técnica de celular,True,https://smartcentersolucoes.com.br/oficial1/,4.6,,"Nova Iguaçu, RJ",Centro,"https://www.google.com/maps/place/Samsung+Smart+Center+Nova+Igua%C3%A7u/@-22.7598471,-43.5983425,12z/data=!4m10!1m2!2m1!1sassistencia+tecnica+de+celular+em+Nova+Igua%C3%A7u,+RJ!3m6!1s0x9967c49618e69b:0xa12f8ba5c9ba7af8!8m2!3d-22.7575332!4d-43.4525895!15sCjJhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gTm92YSBJZ3Vhw6d1LCBSSlozIjFhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gbm92YSBpZ3Vhw6d1IHJqkgEYbW9iaWxlX3Bob25lX3JlcGFpcl9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5sZW1WbGQxRm5FQUXgAQD6AQQIABBJ!16s%2Fg%2F11jfrjhphm?entry=ttu&g_ep=EgoyMDI2MDYyMy4wIKXMDSoASAFQAw%3D%3D",0x9967c49618e69b:0xa12f8ba5c9ba7af8
RF iMaster | Assistência Técnica de Celular em Nova iguaçu,"Av. Gov. Roberto Silveira, 470 - Sala 418 - Centro, Nova Iguaçu - RJ, 26210-210",Rotas,,https://www.instagram.com/reoboth_smart?igsh=eThyZTUzdHZmbHYz,,Assistência técnica de celular,Assistência técnica de celular,True,https://imasterparts.netlify.app/,5.0,,"Nova Iguaçu, RJ",Centro,"https://www.google.com/maps/place/RF+iMaster+%7C+Assist%C3%AAncia+T%C3%A9cnica+de+Celular+em+Nova+igua%C3%A7u/@-22.7598471,-43.5983425,12z/data=!4m10!1m2!2m1!1sassistencia+tecnica+de+celular+em+Nova+Igua%C3%A7u,+RJ!3m6!1s0x99677f06de9613:0x886b74ebd7643124!8m2!3d-22.7543373!4d-43.4543803!15sCjJhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gTm92YSBJZ3Vhw6d1LCBSSlozIjFhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gbm92YSBpZ3Vhw6d1IHJqkgEYbW9iaWxlX3Bob25lX3JlcGFpcl9zaG9wmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJwR1VGbHNSa1ZXVkZveFlVZHNNbU5yWkU1VU0wSjRWV3h2TlZwdVl4QULgAQD6AQQIABAl!16s%2Fg%2F11krm0myqk?entry=ttu&g_ep=EgoyMDI2MDYyMy4wIKXMDSoASAFQAw%3D%3D",0x99677f06de9613:0x886b74ebd7643124
MelkCell Atacado e Varejo,"Av. Nilo Peçanha, 53 - Centro, Nova Iguaçu - RJ, 26210-011",Rotas,,https://www.instagram.com/reoboth_smart?igsh=eThyZTUzdHZmbHYz,,Assistência técnica de celular,Assistência técnica de celular,True,http://www.melkcell.com.br/,5.0,,"Nova Iguaçu, RJ",Centro,"https://www.google.com/maps/place/MelkCell+Atacado+e+Varejo/@-22.7598471,-43.5983425,12z/data=!4m10!1m2!2m1!1sassistencia+tecnica+de+celular+em+Nova+Igua%C3%A7u,+RJ!3m6!1s0x9967bbb31056a7:0x71a23eef789812d8!8m2!3d-22.75981!4d-43.449905!15sCjJhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gTm92YSBJZ3Vhw6d1LCBSSlozIjFhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gbm92YSBpZ3Vhw6d1IHJqkgERZWxlY3Ryb25pY3Nfc3RvcmWaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBrY1ZKNU1VdFNSR3hXVGxkck1WZFVaRWhXUkdoclVqSndSVnBHUlJBQuABAPoBBQiFARA_!16s%2Fg%2F11wm_6nr54?entry=ttu&g_ep=EgoyMDI2MDYyMy4wIKXMDSoASAFQAw%3D%3D",0x9967bbb31056a7:0x71a23eef789812d8
Suporte Smart Nova Iguaçu,"R. Oscar Soares, 792 - Centro, Nova Iguaçu - RJ, 26220-099",Rotas,,https://www.instagram.com/reoboth_smart?igsh=eThyZTUzdHZmbHYz,,Assistência técnica de celular,Assistência técnica de celular,True,https://suportesmart.com.br/franquia/nova-iguacu-rj,5.0,,"Nova Iguaçu, RJ",Centro,"https://www.google.com/maps/place/Suporte+Smart+Nova+Igua%C3%A7u/@-22.7598471,-43.5983425,12z/data=!4m10!1m2!2m1!1sassistencia+tecnica+de+celular+em+Nova+Igua%C3%A7u,+RJ!3m6!1s0x9967b316fd510d:0x712e27d308be20af!8m2!3d-22.7587499!4d-43.4340617!15sCjJhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gTm92YSBJZ3Vhw6d1LCBSSlozIjFhc3Npc3RlbmNpYSB0ZWNuaWNhIGRlIGNlbHVsYXIgZW0gbm92YSBpZ3Vhw6d1IHJqkgEYbW9iaWxlX3Bob25lX3JlcGFpcl9zaG9wmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJDT1ZwMVRYbG5SUkFC4AEA-gEECAAQPw!16s%2Fg%2F11tjzz4kqd?entry=ttu&g_ep=EgoyMDI2MDYyMy4wIKXMDSoASAFQAw%3D%3D",0x9967b316fd510d:0x712e27d308be20af
