nome,cidade,categoria,telefone,endereco,avaliacao,num_avaliacoes,tem_site,email,fonte_email,classificacao_email,prioridade,motivo_classificacao,motivo_filtro_final
SelFi Jóias e Relógios,"Itaguaí, RJ",joalheria,21) 99180-9837,"Rua Zoleide do Espírito Santo Castro sem número lote 63, Itaguaí - RJ, 23822-195",5.0,,False,administrativo@visagejoias.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca,local_bloqueado
Andre Auto Mecanica Em geral,"Nilópolis, RJ",oficina mecânica,21) 99350-1257,"R. Alberto Teixeira da Cunha, 1332 - Centro, Nilópolis - RJ, 26520-070",5.0,,False,contact@andre.fr,comercial,negocio_direto,100,dominio proprio com sinal de marca,local_bloqueado
Clínica Cemo | Vilar dos Teles,"São João de Meriti, RJ",clínica médica,21) 99866-4721,"R. Jacatirão, 93 - Lote 12 Loja B C D - Vilar dos Teles, São João de Meriti - RJ, 25561-411",5.0,,False,coordenacao@clinicasfp.com,comercial,negocio_direto,100,dominio proprio com sinal de marca,local_bloqueado
Chapoca's Pet,"Belford Roxo, RJ",pet shop,21) 98017-6549,"São Bernardo, Belford Roxo - RJ, 26167-325",4.2,,False,contact@91mobiles.com,comercial,negocio_direto,90,dominio proprio,local_bloqueado
Bar do Zeca,"Duque de Caxias, RJ",bar,,"R. Passos da Pátria, 277 - Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ, 25071-220",4.5,,False,web@bfw.group,comercial,negocio_direto,90,dominio proprio,suspeito_mapeado
Beer Soccer Club,"Duque de Caxias, RJ",bar,(21) 2653-2196,"R. Passos da Pátria, 228 - Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ, 25071-220",4.4,,False,ipediretoria@veloxmail.com.br,cnpj,negocio_direto,90,dominio proprio,suspeito_mapeado
Barbearia João Félix,"Duque de Caxias, RJ",barbearia,21) 98295-3258,"R. Jandira, 100 - Centro, Duque de Caxias - RJ, 25011-070",5.0,,False,coordenacao@golcombustiveis.com.br,cnpj,negocio_direto,90,dominio proprio,local_bloqueado
Centro Médico Fênix,"Duque de Caxias, RJ",clínica médica,21) 3672-8780,"R. Conde de Porto Alegre, 286 - Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ, 25070-350",2.9,,False,contact@nesx.co,comercial,negocio_direto,90,dominio proprio,suspeito_mapeado
Padaria e Confeitaria Aliança,"Duque de Caxias, RJ",confeitaria,21) 97744-8441,"Av. Nilo Peçanha, 2518 - Parque Lafaiete, Duque de Caxias - RJ, 25015-500",4.6,,False,legaliza@ntcomercial.com,cnpj,negocio_direto,90,dominio proprio,local_bloqueado
Lanchonete do Will,"Duque de Caxias, RJ",lanchonete,,"Av. Gomes Freire, 900 - Pantanal, Duque de Caxias - RJ, 25040-060",,,False,coordenacao@golcombustiveis.com.br,cnpj,negocio_direto,90,dominio proprio,local_bloqueado
PHD CONTABILIDADE,"Itaguaí, RJ",contador,21) 2687-5933,"R. Gen. Bocaiúva, 880 - 102 - Centro, Itaguaí - RJ, 23815-310",5.0,,False,administrativo@phd.srv.br,cnpj,negocio_direto,90,dominio proprio,local_bloqueado
Point das Pizzas,"Itaguaí, RJ",pizzaria,21) 97075-4540,"praça José luzia de souza - Chapero, Itaguaí - RJ, 23831-200",4.6,,False,rh@contaj.net.br,cnpj,negocio_direto,90,dominio proprio,local_bloqueado
Rafas'Car car,"Japeri, RJ",lavanderia,2198934252,"R. Araçatuba, 16 - Parque Mucaja, Japeri - RJ, 26420-410",,,False,administrativo@rafscar.com.br,comercial,negocio_direto,90,dominio proprio,local_bloqueado
Betapetsbr Banho e Tosa Domiciliar,"Nilópolis, RJ",pet shop,21) 98728-5221,"Estr. Mirandela, 753 - Centro, Nilópolis - RJ, 26520-331",5.0,,False,contact@ju.edu.sa,comercial,negocio_direto,90,dominio proprio,local_bloqueado
Bellas Artes Serralheria,"Nilópolis, RJ",serralheria,21) 98712-3818,"R. Mario de Araújo, 1137 - Centro, Nilópolis - RJ, 26525-131",4.9,,False,administrativo@gamalara.com.br,cnpj,negocio_direto,90,dominio proprio,local_bloqueado
Panificação Real de Belford Roxo,"Belford Roxo, RJ",confeitaria,21) 2761-2480,"Av. Joaquim da Costa Lima, 5 - Belford Roxo, RJ, 26112-061",4.0,,False,sac@embrapa.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
