nome,cidade,categoria,telefone,endereco,avaliacao,num_avaliacoes,tem_site,email,fonte_email,classificacao_email,prioridade,motivo_classificacao
ASSIS - A Clínica Médica em Belford Roxo,"Belford Roxo, RJ",,,,,,False,setordecompras@clinicaassis.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Clínica Médica Fênix | Saúde e Medicina Ocupacional em Belford Roxo,"Belford Roxo, RJ",,,,,,False,rh@clinicamedicafenix.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Drogaria Nacional,"Belford Roxo, RJ",,,,,,False,drogarianacional@gemail.com,comercial,negocio_direto,100,dominio proprio com sinal de marca
Fisk Inglês e Espanhol,"Belford Roxo, RJ",,,,,,False,belfordroxo.rj@escolasfisk.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
HVBR - Animal,"Belford Roxo, RJ",,,,,,False,laboratorio@hvbr.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Imobiliaria Angelo Brasil Imóveis - Compra e Venda de Casas e Apartamentos - financiamento e assessoria,"Belford Roxo, RJ",,,,,,False,imobiliaria@itapeviimoveis.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Lifefit Belford Roxo,"Belford Roxo, RJ",,,,,,False,cal@redelifefit.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
OdontoCompany Belford Roxo Centro,"Belford Roxo, RJ",,,,,,False,belfordroxo-centro@odontocompany.com,comercial,negocio_direto,100,dominio proprio com sinal de marca
Otica Almeida- Belford Roxo,"Belford Roxo, RJ",,,,,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Ramos Consultoria Imobiliária,"Belford Roxo, RJ",,,,,,False,rac@ramos.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Relojoaria e Joalheria Pingo de ouro,"Belford Roxo, RJ",,,,,,False,jefferson@relojoariajj.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Óticas John Vision,"Belford Roxo, RJ",,,,,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Confeitaria Açúcar e Afeto - Belford roxo ( Doces disponiveis a pronta entrega e Ifood ),"Belford Roxo, RJ",confeitaria,21) 98988-5694,"Rua taylor, 555 - Xavantes, Belford Roxo - RJ, 26125-070",5.0,,False,falecom@confeitariaacapulco.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Confeitaria Menina de Bel,"Belford Roxo, RJ",confeitaria,21) 97996-6795,"R. Célia Barcelos, 180 - Nova Piam, Belford Roxo - RJ, 26165-030",5.0,,False,falecom@confeitariaacapulco.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Arrastão da Madeira Ltda,"Belford Roxo, RJ",material de construção,21) 2761-2342,"Av. Retiro da Imprensa, 722 - Piam, Belford Roxo - RJ, 26112-180",4.2,,False,arrastao@arrastao.org.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Atacadão das Ferragens Pantanal,"Belford Roxo, RJ",material de construção,21) 98372-2883,"Rua Lauro Sodré Qd49 Lt15, Vila Santo Antônio - Pantanal, Duque de Caxias - RJ, 25040-060",4.3,,False,faleconosco@atacadao.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
AutoMec Oficina Mecânica,"Belford Roxo, RJ",oficina mecânica,21) 96474-8909,"R. Fernão Dias Paes Leme, N° 55 - São Bernardo, Belford Roxo - RJ, 26165-160",4.8,,False,servico.automec@rxglobal.com,comercial,negocio_direto,100,dominio proprio com sinal de marca
Restaurante Parque Industrial Bayer,"Belford Roxo, RJ",restaurante,21) 2189-0263,"Unnamed Road - Bom Pastor, Belford Roxo - RJ",4.2,,False,avisos.rfb@bayer.com,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Óticas Panoram,"Belford Roxo, RJ",ótica,21) 98367-3771,"Estr. Parque Várzea do Carmo, n° 769 - Santa Amélia, Belford Roxo - RJ, 26116-085",5.0,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Óticas by Vision,"Belford Roxo, RJ",ótica,21) 3582-4270,"Av. Benjamin Pinto Dias, 1437 - 01 - Centro, Belford Roxo - RJ, 26130-035",4.4,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
A Nossa Drogaria,"Duque de Caxias, RJ",,,,,,False,anossadrogaria@anossadrogaria.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Amoedo - Caxias,"Duque de Caxias, RJ",,,,,,False,amoedovirtual@amoedo.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
AmorSaúde Duque de Caxias Centro,"Duque de Caxias, RJ",,,,,,False,duquedecaxiascentro.rj@amorsaude.com,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Assaí Atacadista,"Duque de Caxias, RJ",,,,,,False,loja131.televendas@assai.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Autocar Centro Automotivo Porto Serviço - Duque de Caxias,"Duque de Caxias, RJ",,,,,,False,saccentro.automotivoporto@portoseguro.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Bike.com,"Duque de Caxias, RJ",,,,,,False,team@bike.com,comercial,negocio_direto,100,dominio proprio com sinal de marca
Blue Chip Consultoria de Imóveis,"Duque de Caxias, RJ",,,,,,False,secretaria@bluechip.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Britos Advocacia - Advogadas Especializadas em Aposentadorias | Previdenciário | Trabalhista,"Duque de Caxias, RJ",,,,,,False,escritorio@britosadvocacia.com,comercial,negocio_direto,100,dominio proprio com sinal de marca
CCAA Duque de Caxias,"Duque de Caxias, RJ",,,,,,False,duquedecaxias@ccaa.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Casa das Alianças,"Duque de Caxias, RJ",,,,,,False,alianças@www.casadasaliancas.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Colégio Zero Hum - Duque de Caxias,"Duque de Caxias, RJ",,,,,,False,juliennefaustino@colegioecursozerohum.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Colégio e Curso Progressão Educação - Caxias,"Duque de Caxias, RJ",,,,,,False,relacionamento@cursoprogressao.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Confeitaria Coruja,"Duque de Caxias, RJ",,,,,,False,coruja.sac@globomail.com,comercial,negocio_direto,100,dominio proprio com sinal de marca
DR. RONAN ALENCAR - ADVOCACIA CRIMINAL,"Duque de Caxias, RJ",,,,,,False,ronanalencar@adv.oabrj.org.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Domino's Pizza,"Duque de Caxias, RJ",,,,,,False,relacionamento@dominos.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Drogaria Guanabara,"Duque de Caxias, RJ",,,,,,False,faleconosco@drogariasguanabara.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Elite Rede de Ensino - Duque de Caxias,"Duque de Caxias, RJ",,,,,,False,ensinoelite@fsb.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Empório do Galeto - Caxias Shopping,"Duque de Caxias, RJ",,,,,,False,faleconosco@emporiodogaleto.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Espaço Facial Caxias Shopping,"Duque de Caxias, RJ",,,,,,False,caxiasshopping@espacofacial.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Fisk Inglês e Espanhol,"Duque de Caxias, RJ",,,,,,False,dcaxias.rj@escolasfisk.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Floratta Farmácia de Manipulação - Medicamentos Manipulados,"Duque de Caxias, RJ",,,,,,False,shop@farmaciasfloratta.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Francel Menezes Contabilidade,"Duque de Caxias, RJ",,,,,,False,contatofmc@francelmenezes.com,comercial,negocio_direto,100,dominio proprio com sinal de marca
Ginga Studios,"Duque de Caxias, RJ",,,,,,False,community@gingastudios.com,comercial,negocio_direto,100,dominio proprio com sinal de marca
Guerra e Freitas Advocacia,"Duque de Caxias, RJ",,,,,,False,escritorio@guerraesousa.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
