nome,cidade,categoria,telefone,endereco,avaliacao,num_avaliacoes,tem_site,email,fonte_email,classificacao_email,prioridade,motivo_classificacao,motivo_filtro_final
Confeitaria Açúcar e Afeto - Belford roxo ( Doces disponiveis a pronta entrega e Ifood ),"Belford Roxo, RJ",confeitaria,21) 98988-5694,"Rua taylor, 555 - Xavantes, Belford Roxo - RJ, 26125-070",5.0,,False,falecom@confeitariaacapulco.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Confeitaria Menina de Bel,"Belford Roxo, RJ",confeitaria,21) 97996-6795,"R. Célia Barcelos, 180 - Nova Piam, Belford Roxo - RJ, 26165-030",5.0,,False,falecom@confeitariaacapulco.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Arrastão da Madeira Ltda,"Belford Roxo, RJ",material de construção,21) 2761-2342,"Av. Retiro da Imprensa, 722 - Piam, Belford Roxo - RJ, 26112-180",4.2,,False,arrastao@arrastao.org.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Atacadão das Ferragens Pantanal,"Belford Roxo, RJ",material de construção,21) 98372-2883,"Rua Lauro Sodré Qd49 Lt15, Vila Santo Antônio - Pantanal, Duque de Caxias - RJ, 25040-060",4.3,,False,faleconosco@atacadao.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
AutoMec Oficina Mecânica,"Belford Roxo, RJ",oficina mecânica,21) 96474-8909,"R. Fernão Dias Paes Leme, N° 55 - São Bernardo, Belford Roxo - RJ, 26165-160",4.8,,False,servico.automec@rxglobal.com,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Restaurante Parque Industrial Bayer,"Belford Roxo, RJ",restaurante,21) 2189-0263,"Unnamed Road - Bom Pastor, Belford Roxo - RJ",4.2,,False,avisos.rfb@bayer.com,cnpj,negocio_direto,100,dominio proprio com sinal de marca,ok
Óticas Panoram,"Belford Roxo, RJ",ótica,21) 98367-3771,"Estr. Parque Várzea do Carmo, n° 769 - Santa Amélia, Belford Roxo - RJ, 26116-085",5.0,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Óticas by Vision,"Belford Roxo, RJ",ótica,21) 3582-4270,"Av. Benjamin Pinto Dias, 1437 - 01 - Centro, Belford Roxo - RJ, 26130-035",4.4,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Centro Médico Caxias,"Duque de Caxias, RJ",clínica médica,21) 2673-4466,"R. Dep. Ampliato Cabral, 151 - Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ, 25070-370",3.4,,False,zelia@centromedicocaxias.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca,ok
Cetem Brasil,"Duque de Caxias, RJ",curso pré-vestibular,21) 97116-3246,"RJ-101, 1243 - SL 304/305 - Centro, Duque de Caxias - RJ, 25010-007",5.0,,False,faleconosco@cetembrasil.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca,ok
Drogaria Nacional Gramacho,"Duque de Caxias, RJ",farmácia,21) 2672-0000,"Av. Darcy Vargas, 910 - loja B e loja C - Gramacho, Duque de Caxias - RJ, 25035-250",1.0,,False,nacional@nacional.com,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
"Cachorro Quente do Russo - Duque de Caxias, Rio de Janeiro","Duque de Caxias, RJ",lanchonete,21) 96921-3360,"Av. Dr. Plínio Casado, 309 - Loja 02 - Centro, Duque de Caxias - RJ, 25020-010",4.5,,False,russo@cachorroquentedorusso.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
RM INFORMÁTICA,"Duque de Caxias, RJ",loja de celulares,21) 96410-3966,"L: 16 / Q: 15 - Sem Numero, Rua: Delgado de Carvalho - Pantanal, Duque de Caxias - RJ, 25040-240",4.4,,False,ricardo.michel@rminformaticaam.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca,ok
Cedro,"Duque de Caxias, RJ",loja de roupas,21) 3774-3888,"Av. Governador Leonel de Moura Brizola, 1777 - Centro, Duque de Caxias - RJ, 25010-009",4.3,,False,francisco.smelo@cedro.ind.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
TORQUE AUTO SERVICE,"Duque de Caxias, RJ",oficina mecânica,21) 3845-0769,"R. Elías Francisco Paris, 337 - Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ, 25075-110",4.8,,False,agendamento@torqueautoservice.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Tradição das Tintas,"Duque de Caxias, RJ",pintor,21) 3651-5323,"Av. Darcy Vargas, 1160 - Gramacho, Duque de Caxias - RJ, 25035-250",4.1,,False,tintasapollo@tintasapollo.com,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Confeitaria Estela Bolos,"Itaguaí, RJ",confeitaria,21) 98556-9556,"Av. Pref. Isoldakson Cruz De Brito, 0 - loja a - Vila Margarida, Itaguaí - RJ, 23821-090",5.0,,False,recrutamento@confeitariadama.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Droga Raia,"Itaguaí, RJ",farmácia,21) 99543-9254,"Av. Dep. Octávio Cabral, 79 - Centro, Itaguaí - RJ, 23810-301",4.3,,False,rac@drogaraia.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Ramos Plantas,"Itaguaí, RJ",floricultura,21) 97444-7233,"Rodovia Prefeito Abeilard Goulart de Souza, 17 - Santana, Itaguaí - RJ, 23811-430",4.6,,False,rac@ramos.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Celso Cabral Imóveis,"Itaguaí, RJ",imobiliária,21) 99700-2860,"Rua Magdalena Tortorrelli, 20 - Brisamar, Itaguaí - RJ, 23825-590",5.0,,False,celsocabralimoveis@mail.com,cnpj,negocio_direto,100,dominio proprio com sinal de marca,ok
Balcão do Celular,"Itaguaí, RJ",loja de celulares,21) 2688-2169,"Av. Pref. Ismael Cavalcanti, 398 - Centro, Itaguaí - RJ, 23815-290",4.3,,False,balcao@balcaodorio.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Atacadão Carolina Móveis,"Itaguaí, RJ",loja de móveis,,"R. Dr. Curvelo Cavalcanti - Engenho, Itaguaí - RJ, 23815-292",2.0,,False,faleconosco@atacadao.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Rede Mega Moveis,"Itaguaí, RJ",loja de móveis,21) 2688-8050,"Centro, Itaguaí - RJ, 23810-305",4.8,,False,logistica@redemegamoveis.com,cnpj,negocio_direto,100,dominio proprio com sinal de marca,ok
Grupo TMC Itaguaí,"Itaguaí, RJ",material de construção,21) 99985-9709,"Av. Dep. Octávio Cabral, Lote 10 - quadra 102 - Jardim America, Itaguaí - RJ, 23810-305",4.8,,False,escritorio@grupotmc.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Empório do Pão,"Itaguaí, RJ",padaria,,"R. Benito Juarez, 21 - LJ A - Parque Paraíso, Itaguaí - RJ, 23815-020",4.7,,False,ticiana@emporiodopao.com,cnpj,negocio_direto,100,dominio proprio com sinal de marca,ok
SHOPMIX PAPELARIA,"Itaguaí, RJ",papelaria,21) 2688-5959,"R. Moisés Abraão, 64 - Loja A - Centro, Itaguaí - RJ, 23815-460",4.2,,False,faleconosco@dropshopmix.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
ATACADAO HORTIFRUTI,"Itaguaí, RJ",supermercado,,"Estr. Ari Parreiras, 964 - Engenho, Itaguaí - RJ, 23820-302",4.0,,False,faleconosco@atacadao.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Barbearia Corte das Estrelas,"Japeri, RJ",barbearia,21) 97959-1640,"R. Santo Antônio, 340 - Vila São Luis, Duque de Caxias - RJ, 25065-051",4.9,,False,barbeariadasestrelas@mwdmarketing.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Odontocompany,"Japeri, RJ",dentista,21) 99923-9924,"R. Francisco Antônio Russo, 1 - Quadra A - Eng. Pedreira, Japeri - RJ, 26445-140",4.9,,False,japeri@odontocompany.com,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
