telefone,nome,whatsapp,nicho,cidade,status,observacao
5521967692200,Bronze Meriti,21 96769-2200,Estética,São João de Meriti,abordado,já abordado anteriormente pelo WhatsApp
5521987127265,Estética em Itaguaí - Vanessa Sgrancio,21 98712-7265,Estética,Itaguaí,abordado,já abordado anteriormente pelo WhatsApp
5521983501156,Flora Estética,21 98350-1156,Estética,Mesquita,abordado,já abordado anteriormente pelo WhatsApp
5521978856075,Renata Franco Estética,21 97885-6075,Estética,Mesquita,abordado,já abordado anteriormente pelo WhatsApp
5521982120334,Félix Serviços de Beleza,21 98212-0334,Salão de Beleza,Mesquita,abordado,já abordado anteriormente pelo WhatsApp
552127965515,Marcelo Ferreira Hairstylist,21 2796-5515,Salão de Beleza,Mesquita,abordado,já abordado anteriormente pelo WhatsApp
5521970073850,Dra Midi,21 97007-3850,Estética,Nilópolis,abordado,já abordado anteriormente pelo WhatsApp
5521980965921,Julia Vilandes Estética e Bem Estar,21 98096-5921,Estética,Nilópolis,abordado,já abordado anteriormente pelo WhatsApp
5521991312099,Érica Freire - Estética e Bem Estar,21 99131-2099,Estética,Nilópolis,abordado,já abordado anteriormente pelo WhatsApp
5521994484750,Ckg sisters beauty,21 99448-4750,Salão de Beleza,Nilópolis,abordado,já abordado anteriormente pelo WhatsApp
5521966631671,Dress Hair Company,21 96663-1671,Salão de Beleza,Nilópolis,abordado,já abordado anteriormente pelo WhatsApp
552136980053,Pérolas salão de Beleza,21 3698-0053,Salão de Beleza,Queimados,abordado,já abordado anteriormente pelo WhatsApp
5521993057764,Studio Charme Beauty,21 99305-7764,Salão de Beleza,Belford Roxo,abordado,já abordado anteriormente pelo WhatsApp
5521989852982,Estética Regilane Silva,21 98985-2982,Estética,Nilópolis,abordado,já abordado anteriormente pelo WhatsApp
5521976432612,Grazielly Martins - Clínica de Estética,21 97643-2612,Estética,Nilópolis,abordado,já abordado anteriormente pelo WhatsApp
552127967379,ASES ESCRITÓRIO DE ADVOCACIA,21 2796-7379,Advogado,Mesquita,abordado,já abordado anteriormente pelo WhatsApp
5521985720626,Brunnos Cakes Confeitaria,21 98572-0626,Confeitaria,Mesquita,abordado,já abordado anteriormente pelo WhatsApp
5521988009271,Dra Caroline Lemos,21 98800-9271,Dentista,Mesquita,abordado,já abordado anteriormente pelo WhatsApp
5521990889185,Auto Mecânica VE,21 99088-9185,Oficina Mecânica,Mesquita,abordado,já abordado anteriormente pelo WhatsApp
5521973486362,ESF Advogados,21 97348-6362,Advogado,Nilópolis,abordado,já abordado anteriormente pelo WhatsApp
5521979646771,Leonard Barbearia,21 97964-6771,Barbearia,Nilópolis,abordado,já abordado anteriormente pelo WhatsApp
5521996403525,JR AUTOS MECÂNICA EM GERAL,21 99640-3525,Oficina Mecânica,Nilópolis,abordado,já abordado anteriormente pelo WhatsApp
5521994846983,Pizza Port Delivery,21 99484-6983,Pizzaria,Nilópolis,abordado,já abordado anteriormente pelo WhatsApp
5521970727150,Pizza da Vila,21 97072-7150,Pizzaria,Nilópolis,abordado,já abordado anteriormente pelo WhatsApp
