nome,endereco,telefone,whatsapp,instagram,email,categoria,tem_site,url_site,avaliacao,num_avaliacoes,cidade,bairro,link_maps
Baurú Parque Fluminense,"Rua Manuel da Rocha Mendes, 7 - quadra a - Parque Fluminense, Duque de Caxias - RJ, 25045-440",21) 97554-7868,,,,restaurante,True,http://www.instagram.com/bauru.gourmetof,4.6,,"Duque de Caxias, RJ",,
Restaurante Recanto Do Capixaba,"Lt:12 Qd:71, Av. Fernando Ferrari - Parque Fluminense, Duque de Caxias - RJ, 25041-308",,,,,restaurante,False,,4.6,,"Duque de Caxias, RJ",,
Paradise Viewpoint,"Tr, R. Prof. Elias Pessanha, 183, Duque de Caxias - RJ, 25046-760",21) 97543-9121,,,,restaurante,False,,5.0,,"Duque de Caxias, RJ",,
GRIGOLLI RISTORANTE,"R. Cananéia, 123 - Jardim Gramacho, Duque de Caxias - RJ, 25051-100",21) 98068-3670,,,,restaurante,True,https://grigollipizzeria.saipos.com/home,4.7,,"Duque de Caxias, RJ",,
Frontera - Caxias,"Rod. Washington Luiz, 13010 - Jardim Primavera, Duque de Caxias - RJ, 25213-005",21) 3900-3970,,,,restaurante,True,http://www.frontera.com.br/caxias,4.5,,"Duque de Caxias, RJ",,
Restaurante e Cachaçaria Mussarela,"Av. Governador Leonel de Moura Brizola, 8512 - São Bento, Duque de Caxias - RJ, 25265-008",,,,,restaurante,True,http://restaurantemussarela.blogspot.com.br/,4.5,,"Duque de Caxias, RJ",,
Delícias JC,"R. Ouricuri - Parque Comercial, Duque de Caxias - RJ, 25046-480",,,,,restaurante,False,,,,"Duque de Caxias, RJ",,
Divino Fogão,"RIOgaleão - Aeroporto Internacional Tom Jobim - Av. Vinte de Janeiro, s/n° - Ilha do Governador, Rio de Janeiro - RJ, 21941-570",21) 3398-2130,,,,restaurante,True,http://divinofogao.com.br/,3.8,,"Duque de Caxias, RJ",,
Pasta da Nonna,"Av. Brasil, 367 - Vila São Luis, Duque de Caxias - RJ, 25065-171",21) 3902-4780,,,,restaurante,True,https://facebook.com/pastadanonnadc,4.6,,"Duque de Caxias, RJ",,
Toca do Pepé,"365, R. Assis Valente, 109 - Parque Boa Vista I, Duque de Caxias - RJ, 25085-440",21) 96476-9126,,,,restaurante,True,https://www.facebook.com/Toca-do-Pep%C3%A9-314899088633930/,4.6,,"Duque de Caxias, RJ",,
Nana's Burguer,"R. Parnaíba, 16 - quadra 10 - Nossa Sra. das Gracas, Duque de Caxias - RJ, 25046-270",21) 98910-1904,,,,restaurante,True,https://www.ifood.com.br/delivery/duque-de-caxias-rj/nanas-burguer-nossa-senhora-das-gracas/b119f0a2-b5a7-4890-b521-9fe3e4f345e2,5.0,,"Duque de Caxias, RJ",,
Restaurante Nossa Casa,"Av. Duque de Caxias, 474 - Centro, Duque de Caxias - RJ, 25070-070",21) 97088-5015,,,,restaurante,False,,4.6,,"Duque de Caxias, RJ",,
Justinus Restaurante,"R. Ten. José Dias, 207 - Centro, Duque de Caxias - RJ, 25010-305",21) 96480-0070,,,,restaurante,False,,4.3,,"Duque de Caxias, RJ",,
Restaurante Parada Mix,"Rua marechal Deodoro, R. 25 de Agósto, 617, Duque de Caxias - RJ, 25071-190",,,,,restaurante,True,https://www.instagram.com/restauranteparadamix?igsh=NnQxbXhhMzYwZmJu&utm_source=qr,4.4,,"Duque de Caxias, RJ",,
Edinho do Caranguejo,"R. Humberto de Campos, 143 - Centro, Duque de Caxias - RJ, 25020-120",21) 2772-1319,,,,restaurante,True,https://www.instagram.com/EdinhoDoCaranguejo/,4.6,,"Duque de Caxias, RJ",,
Casarão Gourmet restaurante,"Av. Henrique Valadares, 1930 - Parque Lafaiete, Duque de Caxias - RJ, 25025-101",21) 98659-4674,,,,restaurante,True,https://app.menudino.com/casaraogourmet,4.5,,"Duque de Caxias, RJ",,
Baurú 25 de Agosto,"n° 1235 - Avenida Perimetral Professor José de Souza Herdy, 25 de Agosto, Duque de Caxias - RJ, 25075-142",21) 97901-6267,,,,restaurante,False,,4.2,,"Duque de Caxias, RJ",,
Feital in Brasa,"Av. Brasil, 430 - Vila São Luis, Duque de Caxias - RJ, 25065-172",21) 99288-9258,,,,restaurante,False,,4.8,,"Duque de Caxias, RJ",,
Bolinho De Aipim Do Ceará,"Av. Dr. Manoel Teles, 77 - Engenho do Porto, Duque de Caxias - RJ, 25010-090",,,,,restaurante,False,,4.8,,"Duque de Caxias, RJ",,
Benditto Bistrô,"R. Barão de Tefé, 216 - LOJA - 25 DE AGOSTO, Duque de Caxias - RJ, 25075-010",21) 99240-8811,,,,restaurante,True,https://linktr.ee/bendittobistro,4.4,,"Duque de Caxias, RJ",,
Érika Cury Elegance Studio,"Rua Manoel Jorge da Costa SN Lote 3 Quadra 3 - Jardim Gloria, Duque de Caxias - RJ, 25045-550",21) 98399-9249,,,,salão de beleza,True,http://www.facebook.com/erikacuryelegancestudio,4.7,,"Duque de Caxias, RJ",,
MaVi Santana - Nail Designer,"R. José Amaro Ferreira, 7 - Parque Muisa, Duque de Caxias - RJ, 25045-740",21) 98992-5984,,,,salão de beleza,True,https://www.instagram.com/mavisouza.nails/,5.0,,"Duque de Caxias, RJ",,
Studio Lore Coiffeur,"R. Tabocas, 23 - Parque Fluminense, Duque de Caxias - RJ, 25046-450",21) 99762-0208,,,,salão de beleza,False,,5.0,,"Duque de Caxias, RJ",,
Bellas Unhas milena nails,"Parque Muisa, Duque de Caxias - RJ, 25265-008",96697-8835,,,,salão de beleza,True,http://www.facebook.com/nanybelasunhas,4.6,,"Duque de Caxias, RJ",,
STUDIO - Jayane Oliveira,"R. Henrique Rodrigues da Costa, 320 - Parque Muisa, Duque de Caxias - RJ, 25046-240",21) 97465-7648,,,,salão de beleza,True,https://www.instagram.com/jaynailsdesigner_?igsh=MTVmOXJuM3NyM2RpaQ%3D%3D&utm_source=qr,,,"Duque de Caxias, RJ",,
Studio Cabelos ao Vento,"R. Manuel Antônio da Costa, 32 - Centro, Belford Roxo - RJ, 26185-525",,,,,salão de beleza,False,,,,"Duque de Caxias, RJ",,
HAUS Art Salon,"Av. Expedicionário José Amaro, 34 - Vila São Luis, Duque de Caxias - RJ, 25065-090",21) 99277-2510,,,,salão de beleza,True,https://www.instagram.com/haus.artsalon,5.0,,"Duque de Caxias, RJ",,
