nome,telefone,whatsapp,instagram,email,categoria,cidade,bairro,endereco,tem_site,url_site,avaliacao,num_avaliacoes
Dra. Ana Luiza | Clínica Estética Barra da Tijuca,21) 99115-3484,21) 99115-3484,https://www.instagram.com/draanaluizavieira,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Embaixador Abelardo Bueno, 3330 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-040",False,https://www.instagram.com/draanaluizavieira/,5.0,4
Estética Clinica,21) 3483-7410,,,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Barra Olímpica,"Av. Embaixador Abelardo Bueno - Barra Olímpica, Rio de Janeiro - RJ, 22775-040",False,,4.5,
Hanna Vianna Estética e Limpeza de Pele | Barra da Tijuca,21) 97501-9148,21) 97501-9148,,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Embaixador Abelardo Bueno, 1340 - Sala 805 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-023",False,,5.0,
Walter's Coiffeur Leblon - by Blessed Beauty e Cia,21) 96736-2323,21) 96736-2323,https://www.instagram.com/blessedb.cia,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Leblon,"Av. Bartolomeu Mitre, 792 - Leblon, Rio de Janeiro - RJ, 22431-000",False,https://www.instagram.com/blessedb.cia/,5.0,
Espaço Moringa Beauty - Barra da Tijuca,21) 99876-2002,21) 99876-2002,,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Loja 109, Shopping Open Mall - Av. das Américas, 7907 - Bloco 3 - Barra da Tijuca, Rio de Janeiro - RJ, 22793-081",False,,4.9,
Clínica de Estética e vida - Brasil Slim Barra da Tijuca,21) 97219-7196,21) 97219-7196,,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Link Office - Av. Ayrton Senna, 2600 Bloco 5-A - loja w - Barra da Tijuca, Rio de Janeiro - RJ, 22775-003",False,,4.5,
Cut Prime,21) 2499-3365,,,,salão premium,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. das Américas, 3255 - loja 220 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-002",False,,4.9,
Fábrica Premium Olegário,21) 97613-9613,21) 97613-9613,https://www.instagram.com/fabricapremiumolegario,,salão premium,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Olegário Maciel, 566 - Barra da Tijuca, Rio de Janeiro - RJ, 22621-200",False,https://www.instagram.com/fabricapremiumolegario/,4.9,
Espaço Caju - Salão de Beleza Barra Prime,21) 2208-9991,"https://api.whatsapp.com/send?phone=5521966015065&text=Ol%C3%A1,%20te%20encontrei%20no%20Google%20gostaria%20de%20agendar%20um%20hor%C3%A1rio.",https://www.instagram.com/espacocaju.beleza,,salão premium,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Afonso Arinos de Melo Franco, 222 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-455",False,https://www.instagram.com/espacocaju.beleza/,4.7,
Studio Espaço Prime,21) 98268-1037,21) 98268-1037,http://instagram.com/studioespacoprime,,salão premium,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. José Wilker, 600, BL2, SL 1004 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-024",False,http://instagram.com/studioespacoprime,3.4,
