nome,telefone,whatsapp,instagram,email,categoria,cidade,bairro,endereco,tem_site,url_site,avaliacao,num_avaliacoes
Clínica de Estética Peel Clinique | Botox | Bioestimulador de Colágeno em Rio de Janeiro,21) 98013-6566,5521980136566,,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. João Cabral de Mello Neto, 850 - Bloco 3, Sala 1110 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-057",True,http://peelclinique.com.br/,4.8,
Royal Face Clínica de Estética - Barra da Tijuca,21) 97738-0133,21) 97738-0133,,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. das Américas, 500 - BLC 22 LJ 107 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-100",True,https://royalface.com.br/unidade/clinica-de-estetica-em-barra-da-tijuca/,4.7,
Dra. Ana Luiza | Clínica Estética Barra da Tijuca,21) 99115-3484,21) 99115-3484,https://www.instagram.com/draanaluizavieira,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Embaixador Abelardo Bueno, 3330 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-040",False,https://www.instagram.com/draanaluizavieira/,5.0,4
Dra. Maria Isidoria Clínica de Estética e Harmonização Facial,21) 98325-8808,21) 98325-8808,,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Centro empresarial metropolitano - Av. Ator José Wilker, 605 - Bloco B Ásia sala 369 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-004",True,https://dramariaisidoria.com.br/,5.0,
Espaço Facial - Clínica de Estética,21) 99526-6874,21) 99526-6874,,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Salvador Allende, 3290 - Barra da Tijuca, Rio de Janeiro - RJ, 22783-116",True,https://espacofacial.com.br/,5.0,
"Barra da Tijuca, Rio de Janeiro - Huff Life Clínica de Estética e Emagrecimento.",51) 99334-5221,51) 99334-5221,,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Edifício Le Mond - Av. das Américas, 3500 - Bloco 7 / Sala 108 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-102",True,https://hufflife.com.br/,4.8,
Estética Clinica,21) 3483-7410,,,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Barra Olímpica,"Av. Embaixador Abelardo Bueno - Barra Olímpica, Rio de Janeiro - RJ, 22775-040",False,,4.5,
Charmel De France Clínica de Estética | Barra da Tijuca,21) 98028-1007,https://api.whatsapp.com/send/?phone=5521980281007,,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. das Américas, 12300 - Loja 162 - Barra da Tijuca, Rio de Janeiro - RJ, 22790-702",True,http://charmeldefrance.com.br/,5.0,
Clínica de Estética Íntima Rio de Janeiro RJ clareamento íntimo estética íntima flacidez Íntima e rejuvenescimento íntimo,21) 99931-2051,21) 99931-2051,,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Embaixador Abelardo Bueno, 3180 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-040",True,http://www.google.com.br/url?q=https://www.clinicasdeestetica.com/estetica-intima.html,1.0,
Companhia da Beleza,21) 98172-4547,21) 98172-4547,,,clínica de estética,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. José Silva de Azevedo Neto, 200 - Bloco 07, Loja 123 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-056",True,http://www.companhiadabeleza.com/,4.4,
